product_id,title,price,sale_price,availability,material,color,color_hex,size_text,origin,age_group,pattern,images,status,visibility
test-utf8,"Test Rug UTF8",100,90,in stock,wool,"Beige|Red","#cbb79c|#7a1f2b","170x240","Anatolia",adult,"geometric","https://example.com/1.jpg active",active,public
10002,"Anatolian Rug",329,299,in stock,100% wool,"Beige|Burgundy","#cbb79c|#7a1f2b","170x240 cm","Anatolia",adult,"Traditional, Vintage","https://example.com/a.jpg https://example.com/b.jpg",active,public
test-123,"Smoke Test Rug",123.45,,in stock,,"","","","",,"","https://example.com/i.jpg",active,public
13296,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#623f38|#8b755d","#623f38|#8b755d","4' 9'' X  7' 2''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10288,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#181719|#ab8c79","#181719|#ab8c79","4' 8'' X  7' 2''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10259,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#956e58|#cd9474","#956e58|#cd9474","4'11'' X  7' 2''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10155,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#78373a|#907760","#78373a|#907760","6' 7'' X  9'10''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10034,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#866661|#672834","#866661|#672834","6' 7'' X  9' 7''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10403,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#9d745f|#ce9877","#9d745f|#ce9877","7' 4'' X 11' 1''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
13758,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#7c605e|#7e96a1","#7c605e|#7e96a1","3'10'' X  6' 0''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10188,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#6d4d4e|#91777c","#6d4d4e|#91777c","6' 5'' X  9'10''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10010,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#776350|#a4896a","#776350|#a4896a","6' 6'' X  9' 4''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10160,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#6e5042|#171620","#6e5042|#171620","6' 5'' X  9' 6''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10245,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#673e41|#8d766a","#673e41|#8d766a","4'10'' X  7' 3''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
