sku,image,color,origin,size,description,color1,color2,color3,error
10183,https://drive.google.com/uc?export=view&id=1eLvqaggn7thpYTP0weYYa-VhEXB3AgY7,#ffffff;#634a3a;#6b5242,,,Color: #ffffff;#634a3a;#6b5242,#ffffff,#634a3a,#6b5242,
10184,https://drive.google.com/uc?export=view&id=14kCrn3U_sBJ8FGznEzZ0efZoGKHD_r2F,#ffffff;#845a4a;#8c6352,,,Color: #ffffff;#845a4a;#8c6352,#ffffff,#845a4a,#8c6352,
10185,https://drive.google.com/uc?export=view&id=1skqdnqcBJ8coYqNtiXKy9KaShT0Eywsq,#ffffff;#7b635a;#947363,,,Color: #ffffff;#7b635a;#947363,#ffffff,#7b635a,#947363,
10186,https://drive.google.com/uc?export=view&id=1DX3puIHpIXa5qosONCTRc_plM9Jac_Ca,#ffffff;#8c4a42;#94524a,,,Color: #ffffff;#8c4a42;#94524a,#ffffff,#8c4a42,#94524a,
10187,,,,,,,,,no-image
10188,https://drive.google.com/uc?export=view&id=19uRYBIoDUmUnOsZ_abpYPOyUHPXogPb8,#ffffff;#6b5252;#634a4a,,,Color: #ffffff;#6b5252;#634a4a,#ffffff,#6b5252,#634a4a,
10189,https://drive.google.com/uc?export=view&id=1K_iS2NVBKZOc_olTqxwwKQ1szwxQwgyL,#ffffff;#8c6b52;#94735a,,,Color: #ffffff;#8c6b52;#94735a,#ffffff,#8c6b52,#94735a,
10190,https://drive.google.com/uc?export=view&id=1p2CXm7lmlZ8sqTWLY2T4L0aTdGCGMQHO,#ffffff;#94735a;#9c7b63,,,Color: #ffffff;#94735a;#9c7b63,#ffffff,#94735a,#9c7b63,
10191,https://drive.google.com/uc?export=view&id=1wmzmTXBhYiqO-9SUgA9cAfHr1iNvpCmL,#ffffff;#9c4a3a;#9c6b52,,,Color: #ffffff;#9c4a3a;#9c6b52,#ffffff,#9c4a3a,#9c6b52,
10192,https://drive.google.com/uc?export=view&id=1Z3nEakWgTyhQr4Sf8l_3gr4C3pkmpTKo,#ffffff;#ad8c73;#a5846b,,,Color: #ffffff;#ad8c73;#a5846b,#ffffff,#ad8c73,#a5846b,
10193,https://drive.google.com/uc?export=view&id=14KAF3il4VkwTVhLx2BkOn4zzE2gofFqB,#ffffff;#8c6352;#8c6b5a,,,Color: #ffffff;#8c6352;#8c6b5a,#ffffff,#8c6352,#8c6b5a,
10194,https://drive.google.com/uc?export=view&id=1So3WKqxKTg4XT_lNqk564TBfIOJZ77uX,#ffffff;#947352;#9c7352,,,Color: #ffffff;#947352;#9c7352,#ffffff,#947352,#9c7352,
10195,https://drive.google.com/uc?export=view&id=1zU1-cB0EX8rfKUOd-F1Y0zfuGRzoki8Q,#ffffff;#bd9c7b;#bd9c84,,,Color: #ffffff;#bd9c7b;#bd9c84,#ffffff,#bd9c7b,#bd9c84,
10196,https://drive.google.com/uc?export=view&id=1fQf0o2TYpW8D0gaxRnYoSDN5nwYiQwQt,#ffffff;#7b5a4a;#6b5242,,,Color: #ffffff;#7b5a4a;#6b5242,#ffffff,#7b5a4a,#6b5242,
10197,https://drive.google.com/uc?export=view&id=1xBnhLaPMbCciEwZPgBIo-0RySs_4BL1c,#ffffff;#735a4a;#6b5242,,,Color: #ffffff;#735a4a;#6b5242,#ffffff,#735a4a,#6b5242,
10198,https://drive.google.com/uc?export=view&id=1BhJhTuRkuiMk7K5DO2G991-ZLVpNRHjN,#ffffff;#9c7b63;#8c6352,,,Color: #ffffff;#9c7b63;#8c6352,#ffffff,#9c7b63,#8c6352,
10199,https://drive.google.com/uc?export=view&id=1uusHuuPwmM1NaMbwBg-GKmknFzXA1zFD,#ffffff;#846b5a;#735a4a,,,Color: #ffffff;#846b5a;#735a4a,#ffffff,#846b5a,#735a4a,
10200,https://drive.google.com/uc?export=view&id=13a2kYSqW6PE0n7H0hTbu4snyzLtnfx9W,#8c3a3a;#943a3a;#944242,,,Color: #8c3a3a;#943a3a;#944242,#8c3a3a,#943a3a,#944242,
10201,https://drive.google.com/uc?export=view&id=1JII6auBM8RaydlSveHy_COJ-gzfdvs2V,#ffffff;#6b635a;#73635a,,,Color: #ffffff;#6b635a;#73635a,#ffffff,#6b635a,#73635a,
10202,https://drive.google.com/uc?export=view&id=1gXTwXzFWOIOCWR-ZB9Q4kwmkwZAJTR1w,#633a29;#6b4231;#6b4a3a,,,Color: #633a29;#6b4231;#6b4a3a,#633a29,#6b4231,#6b4a3a,
