sku,color1,color2,color3,image,error
16189,#8c6b52,#7b5a4a,#947b5a,"https://drive.google.com/uc?export=view&id=1XDILcDPC8gzz3MXnKS-vV03fYImfujzc",
16192,#ffffff,#a58463,#9c7b5a,"https://drive.google.com/uc?export=view&id=1Frl6HJCKtA0vM52xoJqypkBoElUfSJtn",
16194,#947b63,#8c735a,#847352,"https://drive.google.com/uc?export=view&id=1DmkPUDiv0a-2aoOrhkTnT2V__EHr8CIg",
16390,#ffffff,#736363,#6b6363,"https://drive.google.com/uc?export=view&id=1q_ta8OKx9f5DAWJQ9a45X8mjgL3ZSC4E",
16450,#ffffff,#7b5a4a,#84634a,"https://drive.google.com/uc?export=view&id=1P2-snbEnNoboHOptUc8Ey-75CKmYGIwX",
16476,#5a4a42,#3a3a3a,#5a423a,"https://drive.google.com/uc?export=view&id=1iVQ9ve8UrXPp0_8AvfQnYuxMGcDy3ryF",
16523,#ffffff,#944a52,#94424a,"https://drive.google.com/uc?export=view&id=1xH4Vnkyn9ovdij80rpntheX6uKhrUGK8",
16532,#312121,#3a2929,#3a2921,"https://drive.google.com/uc?export=view&id=1NwoiGOOrF047KySdEPd6h0dSMFSB41hX",
16533,#634a31,#6b523a,#5a4231,"https://drive.google.com/uc?export=view&id=1Ixu_7RzE7wPu7esRbOs8vx4lFw3ttV2L",
16547,#ffffff,#9c8c73,#94846b,"https://drive.google.com/uc?export=view&id=1E-fxtnsAZigAMjGA04dlQQSyBrthno_X",
16548,#ffffff,#73635a,#7b6b63,"https://drive.google.com/uc?export=view&id=1R0aGnOSoiefKKW-CG0HFtu76OO-Q81Bp",
16549,#ffffff,#7b6363,#b5736b,"https://drive.google.com/uc?export=view&id=1MWtsKNqaa4SX1z75N3C4-xOrIV75MFAh",
